Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:28:46,2018-07-26 15:29:15,28.491s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:28:47,2018-07-26 15:29:15,28.187s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:28:47,2018-07-26 15:29:11,23.796s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:29:11,2018-07-26 15:29:12,0.812s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:29:12,2018-07-26 15:29:13,1.138s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:29:13,2018-07-26 15:29:13,0.132s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:29:13,2018-07-26 15:29:13,0.318s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:29:13,2018-07-26 15:29:14,1.119s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:29:14,2018-07-26 15:29:15,0.601s,PASSED
