Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 12:58:08,2018-07-26 12:58:36,27.990s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 12:58:08,2018-07-26 12:58:36,27.689s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:58:08,2018-07-26 12:58:32,23.857s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:58:32,2018-07-26 12:58:33,0.602s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:58:33,2018-07-26 12:58:33,0.489s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:58:33,2018-07-26 12:58:34,0.145s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:58:34,2018-07-26 12:58:34,0.319s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:58:34,2018-07-26 12:58:35,1.197s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:58:35,2018-07-26 12:58:36,0.744s,PASSED
