Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:26:26,2018-07-26 15:26:54,28.329s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:26:26,2018-07-26 15:26:54,27.870s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:26:27,2018-07-26 15:26:51,23.973s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:26:51,2018-07-26 15:26:51,0.827s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:26:51,2018-07-26 15:26:52,0.506s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:26:52,2018-07-26 15:26:52,0.120s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:26:52,2018-07-26 15:26:52,0.320s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:26:52,2018-07-26 15:26:54,1.158s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:26:54,2018-07-26 15:26:54,0.598s,PASSED
