Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:24:42,2018-07-26 15:25:10,27.827s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:24:42,2018-07-26 15:25:10,27.516s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:24:42,2018-07-26 15:25:06,23.786s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:25:06,2018-07-26 15:25:07,0.792s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:25:07,2018-07-26 15:25:08,0.469s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:25:08,2018-07-26 15:25:08,0.126s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:25:08,2018-07-26 15:25:08,0.328s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:25:08,2018-07-26 15:25:09,1.166s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:25:09,2018-07-26 15:25:10,0.610s,PASSED
