Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 12:55:08,2018-07-26 12:55:36,28.477s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 12:55:08,2018-07-26 12:55:36,28.199s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:55:08,2018-07-26 12:55:32,23.774s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:55:32,2018-07-26 12:55:33,1.149s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:55:33,2018-07-26 12:55:34,0.851s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:55:34,2018-07-26 12:55:34,0.124s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:55:34,2018-07-26 12:55:34,0.323s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:55:34,2018-07-26 12:55:36,1.117s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:55:36,2018-07-26 12:55:36,0.597s,PASSED
