Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Firefox 51.0,,2018-07-26 12:42:39,2018-07-26 12:43:12,33.576s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Firefox 51.0,,2018-07-26 12:42:39,2018-07-26 12:43:12,33.267s,PASSED
openBrowser,Firefox 51.0,,2018-07-26 12:42:39,2018-07-26 12:43:09,29.154s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-26 12:43:09,2018-07-26 12:43:09,0.933s,PASSED
click,Firefox 51.0,,2018-07-26 12:43:09,2018-07-26 12:43:10,0.874s,PASSED
setText,Firefox 51.0,,2018-07-26 12:43:10,2018-07-26 12:43:10,0.125s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-26 12:43:10,2018-07-26 12:43:11,0.324s,PASSED
click,Firefox 51.0,,2018-07-26 12:43:11,2018-07-26 12:43:12,1.138s,PASSED
closeBrowser,Firefox 51.0,,2018-07-26 12:43:12,2018-07-26 12:43:12,0.432s,PASSED
