Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:31:08,2018-07-26 15:31:36,28.224s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:31:08,2018-07-26 15:31:36,27.960s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:31:08,2018-07-26 15:31:32,23.726s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:31:32,2018-07-26 15:31:33,0.943s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:31:33,2018-07-26 15:31:34,0.865s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:31:34,2018-07-26 15:31:34,0.117s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:31:34,2018-07-26 15:31:34,0.323s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:31:34,2018-07-26 15:31:35,1.101s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:31:35,2018-07-26 15:31:36,0.598s,PASSED
