Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 12:56:08,2018-07-26 12:56:47,39.142s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 12:56:08,2018-07-26 12:56:47,38.840s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:56:08,2018-07-26 12:56:32,23.788s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:56:32,2018-07-26 12:56:34,1.805s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:56:34,2018-07-26 12:56:39,5.630s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:56:39,2018-07-26 12:56:40,0.109s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:56:40,2018-07-26 12:56:40,0.325s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:56:40,2018-07-26 12:56:46,6.197s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:56:46,2018-07-26 12:56:47,0.697s,PASSED
