Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:22:05,2018-07-26 15:22:33,28.294s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:22:06,2018-07-26 15:22:33,27.859s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:06,2018-07-26 15:22:30,23.998s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:22:30,2018-07-26 15:22:31,0.793s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:31,2018-07-26 15:22:31,0.513s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:31,2018-07-26 15:22:31,0.120s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:22:31,2018-07-26 15:22:32,0.325s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:32,2018-07-26 15:22:33,1.099s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:33,2018-07-26 15:22:33,0.596s,PASSED
