Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:30:15,2018-07-26 15:30:53,38.506s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:30:15,2018-07-26 15:30:53,38.213s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:30:15,2018-07-26 15:30:40,24.294s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:30:40,2018-07-26 15:30:40,0.670s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:30:40,2018-07-26 15:30:46,5.464s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:30:46,2018-07-26 15:30:46,0.112s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:30:46,2018-07-26 15:30:46,0.312s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:30:46,2018-07-26 15:30:52,6.136s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:30:52,2018-07-26 15:30:53,0.915s,PASSED
