Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:21:13,2018-07-26 15:21:42,28.493s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:21:14,2018-07-26 15:21:42,28.144s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:21:14,2018-07-26 15:21:38,23.965s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:21:38,2018-07-26 15:21:39,1.199s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:21:39,2018-07-26 15:21:40,0.490s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:21:40,2018-07-26 15:21:40,0.125s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:21:40,2018-07-26 15:21:40,0.327s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:21:40,2018-07-26 15:21:41,1.104s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:21:41,2018-07-26 15:21:42,0.643s,PASSED
