Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:06:13,2018-07-26 15:06:41,28.188s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:06:13,2018-07-26 15:06:41,27.899s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:06:14,2018-07-26 15:06:38,23.831s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:06:38,2018-07-26 15:06:38,0.915s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:06:38,2018-07-26 15:06:39,0.864s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:06:39,2018-07-26 15:06:39,0.139s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:06:39,2018-07-26 15:06:40,0.339s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:06:40,2018-07-26 15:06:41,0.954s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:06:41,2018-07-26 15:06:41,0.593s,PASSED
