Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:20:11,2018-07-26 15:20:43,32.043s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:20:11,2018-07-26 15:20:43,31.757s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:20:11,2018-07-26 15:20:35,23.793s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:20:35,2018-07-26 15:20:39,4.333s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:20:39,2018-07-26 15:20:41,1.219s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:20:41,2018-07-26 15:20:41,0.129s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:20:41,2018-07-26 15:20:41,0.324s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:20:41,2018-07-26 15:20:42,1.069s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:20:42,2018-07-26 15:20:43,0.649s,PASSED
