Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 14:48:13,2018-07-26 14:48:42,29.254s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 14:48:13,2018-07-26 14:48:42,28.958s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 14:48:13,2018-07-26 14:48:37,23.805s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 14:48:37,2018-07-26 14:48:39,1.918s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 14:48:39,2018-07-26 14:48:40,0.911s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 14:48:40,2018-07-26 14:48:40,0.123s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 14:48:40,2018-07-26 14:48:40,0.333s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 14:48:40,2018-07-26 14:48:41,0.987s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 14:48:41,2018-07-26 14:48:42,0.605s,PASSED
