Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:18:51,2018-07-26 15:19:19,27.983s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:18:51,2018-07-26 15:19:19,27.659s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:18:51,2018-07-26 15:19:15,23.887s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:19:15,2018-07-26 15:19:16,0.773s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:19:16,2018-07-26 15:19:16,0.528s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:19:16,2018-07-26 15:19:17,0.135s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:19:17,2018-07-26 15:19:17,0.328s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:19:17,2018-07-26 15:19:18,1.132s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:19:18,2018-07-26 15:19:19,0.606s,PASSED
