Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:22:57,2018-07-26 15:23:25,27.856s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:22:58,2018-07-26 15:23:25,27.525s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:58,2018-07-26 15:23:22,23.747s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:23:22,2018-07-26 15:23:22,0.801s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:23:22,2018-07-26 15:23:23,0.509s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:23:23,2018-07-26 15:23:23,0.136s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:23:23,2018-07-26 15:23:23,0.318s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:23:23,2018-07-26 15:23:24,1.154s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:23:24,2018-07-26 15:23:25,0.603s,PASSED
