Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:29:38,2018-07-26 15:30:06,27.699s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:29:38,2018-07-26 15:30:06,27.419s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:29:39,2018-07-26 15:30:03,23.795s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:30:03,2018-07-26 15:30:03,0.624s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:30:03,2018-07-26 15:30:04,0.501s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:30:04,2018-07-26 15:30:04,0.141s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:30:04,2018-07-26 15:30:04,0.316s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:30:04,2018-07-26 15:30:05,1.153s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:30:05,2018-07-26 15:30:06,0.600s,PASSED
