Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:25:34,2018-07-26 15:26:02,27.917s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:25:34,2018-07-26 15:26:02,27.628s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:25:34,2018-07-26 15:25:58,23.835s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:25:58,2018-07-26 15:25:59,0.780s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:25:59,2018-07-26 15:25:59,0.517s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:25:59,2018-07-26 15:25:59,0.148s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:25:59,2018-07-26 15:26:00,0.329s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:26:00,2018-07-26 15:26:01,1.154s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:26:01,2018-07-26 15:26:02,0.616s,PASSED
