Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:27:17,2018-07-26 15:27:45,27.816s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:27:18,2018-07-26 15:27:45,27.517s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:27:18,2018-07-26 15:27:42,23.775s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:27:42,2018-07-26 15:27:42,0.677s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:27:42,2018-07-26 15:27:43,0.514s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:27:43,2018-07-26 15:27:43,0.152s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:27:43,2018-07-26 15:27:43,0.349s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:27:43,2018-07-26 15:27:45,1.161s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:27:45,2018-07-26 15:27:45,0.616s,PASSED
