Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:27:55,2018-07-26 15:28:34,38.764s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:27:55,2018-07-26 15:28:34,38.431s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:27:55,2018-07-26 15:28:19,24.079s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:28:19,2018-07-26 15:28:21,1.261s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:28:21,2018-07-26 15:28:26,5.615s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:28:26,2018-07-26 15:28:26,0.115s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:28:26,2018-07-26 15:28:27,0.318s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:28:27,2018-07-26 15:28:33,6.163s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:28:33,2018-07-26 15:28:33,0.630s,PASSED
