Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:07:31,2018-07-26 15:08:00,29.357s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:07:31,2018-07-26 15:08:00,29.077s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:31,2018-07-26 15:07:55,23.850s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:07:55,2018-07-26 15:07:57,1.801s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:57,2018-07-26 15:07:58,0.862s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:07:58,2018-07-26 15:07:58,0.146s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:07:58,2018-07-26 15:07:58,0.333s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:58,2018-07-26 15:07:59,1.148s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:59,2018-07-26 15:08:00,0.613s,PASSED
