Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 12:50:52,2018-07-26 12:51:20,27.826s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 12:50:52,2018-07-26 12:51:20,27.547s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:50:53,2018-07-26 12:51:16,23.784s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:51:17,2018-07-26 12:51:17,0.757s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:17,2018-07-26 12:51:18,0.452s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:51:18,2018-07-26 12:51:18,0.177s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:51:18,2018-07-26 12:51:18,0.335s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:18,2018-07-26 12:51:19,1.156s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:51:19,2018-07-26 12:51:20,0.600s,PASSED
