Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 14:38:32,2018-07-26 14:39:01,29.102s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 14:38:32,2018-07-26 14:39:01,28.826s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 14:38:32,2018-07-26 14:38:56,23.820s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 14:38:56,2018-07-26 14:38:58,1.778s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 14:38:58,2018-07-26 14:38:59,0.881s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 14:38:59,2018-07-26 14:38:59,0.125s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 14:38:59,2018-07-26 14:38:59,0.343s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 14:38:59,2018-07-26 14:39:00,0.970s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 14:39:00,2018-07-26 14:39:01,0.659s,PASSED
