Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:23:49,2018-07-26 15:24:18,28.120s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:23:50,2018-07-26 15:24:17,27.835s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:23:50,2018-07-26 15:24:14,24.151s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:24:14,2018-07-26 15:24:15,0.659s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:15,2018-07-26 15:24:15,0.519s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:24:15,2018-07-26 15:24:15,0.153s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:24:15,2018-07-26 15:24:16,0.331s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:24:16,2018-07-26 15:24:17,1.164s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:24:17,2018-07-26 15:24:17,0.609s,PASSED
