Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:17:31,2018-07-26 15:18:00,28.747s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:17:31,2018-07-26 15:18:00,28.469s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:31,2018-07-26 15:17:55,23.765s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:17:55,2018-07-26 15:17:57,1.755s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:57,2018-07-26 15:17:57,0.559s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:17:57,2018-07-26 15:17:58,0.122s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:17:58,2018-07-26 15:17:58,0.321s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:58,2018-07-26 15:17:59,1.090s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:59,2018-07-26 15:18:00,0.604s,PASSED
