Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 15:31:59,2018-07-26 15:32:27,27.746s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 15:31:59,2018-07-26 15:32:26,27.481s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:31:59,2018-07-26 15:32:23,23.784s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:32:23,2018-07-26 15:32:24,0.753s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:32:24,2018-07-26 15:32:24,0.495s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:32:24,2018-07-26 15:32:24,0.122s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:32:24,2018-07-26 15:32:25,0.328s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:32:25,2018-07-26 15:32:26,1.140s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:32:26,2018-07-26 15:32:26,0.597s,PASSED
